isbn,title,author,publisher,year,stock
213236823-6,Thirty Day Princess,Neely Schout,"Gleason, Cummerata and Kautzer",1998,85
366420344-5,Crime Story (Zhong an zu),Garald Benka,Reichert and Sons,1998,2
439946258-2,Murder at 1600,Gregoire Quantrell,Bogisich Inc,1995,98
842197241-3,Star Trek IV: The Voyage Home,Rory Ciraldo,Green-Aufderhar,1993,57
783652692-5,Gentleman Jim,Belicia Pevsner,Hilll Inc,1995,40
129354422-1,"Living Dead Girl, The (Morte Vivante, La)",Clemmy Danbrook,"Cassin, Baumbach and Herman",2006,15
478793752-9,Rain Over Santiago (Il pleut sur Santiago),John Kennea,"Bradtke, Runolfsson and Price",1970,98
517529792-9,Sons of the Desert,Dedra O'Connor,Schulist-Huels,1986,30
464339429-3,Anything But Love (a.k.a. Standard Time),Hillary Jennings,McKenzie Group,1992,58
305685401-6,Island in the Sun,Baryram Isakovic,"Hodkiewicz, Crist and Pfeffer",1999,95
257444125-7,My Best Enemy (Mi mejor enemigo),Jacquenetta Bullman,Pfannerstill-Kutch,1985,7
220463769-6,"Tunnel, The (Tunnel, Der)",Jemmy Wellsman,McCullough Inc,2010,68
350747491-3,TiMER,Tod Destouche,Sauer LLC,2009,84
192763327-3,Jolson Sings Again,Twyla Bernon,Fahey LLC,2008,92
891560459-8,"Good Heart, The",Dorris Sutty,Dach-Satterfield,1987,88
606487384-1,City in the Sea,Stevy Stringfellow,"Rutherford, Grady and Roob",2008,35
329332421-5,"Trouble with Angels, The",Johny McCrachen,"Hoppe, Gottlieb and Lehner",2010,68
558161196-3,Infernal Affairs (Mou gaan dou),Norman Smaleman,"Koch, Abshire and Hamill",2003,62
860515942-1,Humboldt County,Helena Childes,"Botsford, Haley and Wehner",1993,26
060772879-5,"Flight That Fought Back, The",Margaret Arrandale,"Gleason, Swaniawski and Osinski",1993,24
957284173-4,"Castaway Cowboy, The",Borden Elintune,Quigley-Hand,2001,31
392351619-3,Crossing the Bridge,Marcellus Canter,"Dare, Cassin and Schroeder",2000,42
836243995-5,Chronos,Shaun Iacovuzzi,"Pfeffer, Medhurst and O'Keefe",1996,9
483033624-2,As it is in Heaven (Så som i himmelen),Brion Balke,Casper Group,2007,52
320071988-5,Camilla,Suzanne Coners,Farrell LLC,2001,25
950331841-6,Another Gay Movie,Erek Baden,Metz Group,2001,4
847183022-1,"Covenant, The",Myca Leonida,Boyle-Kling,1984,53
964278924-8,Love Don't Cost a Thing,Aida Brittles,Schulist Group,2008,17
374743524-6,El Escarabajo de Oro,Alisander Ginman,"Cummerata, Schiller and Howell",2000,61
236504999-0,Shadows and Fog,Blair Halfpenny,Sauer-Kuhic,2000,74
005059530-X,Alone in the Dark,Orton Barca,Ankunding LLC,1992,74
565422955-9,"Curse, The (a.k.a. The Farm)",Clive Fleckney,Beatty-Kutch,1989,81
029283610-4,Reign Over Me,Carolan Rothchild,Bashirian-Roberts,1984,63
115282766-9,Christopher Columbus: The Discovery,Valeda Tripett,"Turcotte, Gorczany and Fadel",2003,47
682315179-X,"Visit, The",Gustie Endley,"Little, Hirthe and Kirlin",2005,78
433747775-6,All the Fine Young Cannibals,Eddie Heindle,Walsh Group,1998,56
981542685-0,Extremities,Sarina Riby,Zulauf and Sons,1977,47
109559943-7,Tetsuo II: Body Hammer,Wilmar Cawt,"Carroll, Wisozk and Brown",2012,29
540499612-9,Village People Radio Show (Apa khabar orang kampung),Rheta Hudd,Stanton-Boyer,1992,98
319604090-9,Some Girl(s),Denice Fernihough,"Vandervort, DuBuque and Boehm",2009,84
526785202-3,Don't Go in the House,Jesselyn Thams,Dietrich-Botsford,2012,87
640399782-3,"Book of Eli, The",Crosby Fotherby,Hand Group,2003,79
740346075-8,Dark Forces (Harlequin),Pryce Sinnott,"Ruecker, Wisoky and Wisozk",2009,29
658046752-5,Year One,Gusta McGloughlin,"VonRueden, Runolfsson and Koepp",2002,80
534651617-4,"Private Life of Sherlock Holmes, The",Trevor Youles,Smitham-Macejkovic,1999,68
095785869-8,In Passing,Matthieu Smee,Bayer Inc,2000,29
332156022-4,Dinotopia: Quest for the Ruby Sunstone,Madelene Skoughman,"Runolfsdottir, Runolfsdottir and Pacocha",2006,23
237697703-7,Stavisky...,Amelina Lumsdon,Herzog-Kemmer,1985,60
612466075-X,"Coward, The (Kapurush)",Virginie Martyn,Hintz-Ankunding,2011,94
612829497-9,Mysterious Origins of Man,Irma Rugieri,Keeling Inc,2012,10
705056740-X,"Champ, The",Pryce Quincey,O'Reilly and Sons,1991,47
575401241-1,"Monuments Men, The",Ludovico Sebright,Schowalter LLC,2005,29
942699371-1,The Horribly Slow Murderer with the Extremely Inefficient Weapon,Virgina Vell,Wisozk LLC,2002,16
615052928-2,Yogi Bear,Cecilio Loffel,Nienow Group,2010,19
075352086-9,"Book of Eli, The",Rozalin Gwinnett,Romaguera LLC,2003,82
268645823-2,Neighbors,Randi Dighton,"Graham, Moore and Kuvalis",2006,15
623786807-0,Now!,Nev Carlett,Crooks and Sons,2010,87
176460398-2,Ring of Darkness,Flory Constantinou,"Dare, Bauch and Oberbrunner",2011,32
589364633-9,"6th Man, The (Sixth Man, The)",Hoebart Morritt,Davis Inc,1995,100
604651413-4,"Satan Bug, The",Else McTaggart,Muller and Sons,2004,56
493864151-8,Foolish,Aguistin Orrum,Parisian-Stehr,1986,44
182513121-X,Kippur,Hersh Basso,McDermott-Langworth,2004,47
254282918-7,Neverland,Angela Warlawe,Morar LLC,1993,5
601384908-0,Chicago Joe and the Showgirl,Hildagarde Elijah,"Hudson, Gislason and Parisian",2004,5
762161135-9,Dreaming of Joseph Lees,Noe Anglim,Koepp and Sons,2003,99
200017301-2,"Dilettante, La",Wileen Camili,Herman-Sipes,2003,24
735928818-5,Bis zum Ellenbogen,Caitrin McKnish,"Berge, Langosh and Hand",1984,63
404715182-3,Russian Dolls (Les poupées russes),Latashia Itzak,Tillman-Nicolas,1994,49
744699222-0,"Unborn, The",Eddie Queree,Reilly-Ankunding,2012,44
078950517-7,Hollywood Homicide,Sidnee Ferriday,Purdy-Muller,2012,36
153266259-9,Carousel,Daron Tomasini,Kirlin and Sons,2005,78
598267032-4,Arcade,Benson Huton,"Gutmann, Runolfsson and Farrell",2005,80
994153174-9,Kilometre Zero (Kilomètre zéro),Natassia Blachford,Hahn-Franecki,1964,10
421534159-0,Reversal of Fortune,Nissa Quiddihy,"DuBuque, Gutkowski and Koelpin",1999,14
281608470-1,Day of Wrath (Vredens dag),Gertruda Glennon,Bosco-Schneider,2002,84
487612663-1,Born to Be Bad,Adi Knowling,Tremblay-Mills,1955,15
818067495-9,Cinderella,Demetri Hartington,"Steuber, Cronin and Schowalter",2011,78
132381443-4,"Scenic Route, The",Oates Janssen,Parisian-Baumbach,2008,37
002182459-2,Journey Into Fear,Winonah Reihm,Nader Group,2000,9
959743070-3,"Match Factory Girl, The (Tulitikkutehtaan tyttö)",Jacinthe Luquet,Corkery-Smitham,1985,27
436190972-5,Holy Man,Marina Tilte,Schmeler Group,1995,53
089834436-0,Into the Woods,Arlene Fagence,Luettgen LLC,2007,7
658253860-8,"Don Is Dead, The",Gael Dunford,"Mitchell, Kerluke and Parisian",2005,2
054454098-0,Living with Wolves,Wilbert Chuck,Schumm-Breitenberg,2011,11
712704821-5,Disco and Atomic War (Disko ja tuumasõda),Mike Knivett,Jerde Group,2006,13
454874410-X,"Big Bird Cage, The",Elihu Origin,Klein-Kris,2004,1
273040122-9,Mad City,Vance Leport,Stokes-Gusikowski,1995,25
676930623-9,Down in the Delta,Kristopher Glas,Russel-Pfeffer,2002,67
383866678-X,Father Hood,Jacinta Kirkbride,Torphy-Green,2010,58
938926738-2,"Letter From Death Row, A",Silvia Treppas,Murphy LLC,1989,81
985007869-3,"Chronicle of Anna Magdalena Bach, The (Chronik der Anna Magdalena Bach)",Glenna Pursehouse,Howell Group,2000,60
747236459-2,Ju-on: White Ghost,Noelyn Kingzet,Mayer-Kassulke,1994,72
921283414-0,"Havre, Le",Julianne Whereat,Bosco Inc,2001,51
980633933-9,Canadian Bacon,Katerina Harden,McClure Inc,1997,46
453663048-1,"Story of Xinghua, The (Xinghua san yue tian)",Giffard Westwood,Schmitt and Sons,1996,79
058201483-2,Moonrise Kingdom,Lucila Abramowsky,Kunde LLC,2003,21
936342146-5,Lackawanna Blues,Sara-ann Brandrick,Lakin Group,1995,83
943982739-4,Slasher House,Lynnea Archibould,Dickens LLC,1996,42
500117209-8,Lord of Tears,Correna Werrilow,Leannon Inc,1995,17
917966455-5,"Trouble with Girls, The",Christoffer Gazey,Nienow-Casper,1984,45
099598135-3,"Human Centipede, The (First Sequence)",Pauline Searl,Schmitt and Sons,2004,37
514735347-X,I Capture the Castle,Eddie Larmour,Ebert LLC,2009,82
666689912-1,"Gatekeepers, The",Alisun Reglar,"Reilly, Heathcote and Pagac",2003,21
737182509-8,"Ceremony, The (Gishiki)",Gram Libbis,"Schowalter, Doyle and Keeling",2009,2
086420366-7,"Preacher, The (De dominee)",Tallulah Batham,Kshlerin-Block,1985,65
457760362-4,"Crystal Ball, The",Abby Ungerecht,Miller Inc,1993,3
858324794-3,"Women, The",Christen Isack,Mohr LLC,2006,41
071428102-6,Dodsworth,Willdon Ciciotti,Rippin-Volkman,2011,40
943890137-X,Freaked,Scotty Kulver,Stroman Inc,2006,28
846666942-6,"Mouse on the Moon, The",Kordula Duchan,McLaughlin and Sons,1994,4
914458419-9,Requiem for a Vampire (Vierges et vampires),Olimpia Dumbrall,Simonis-Cremin,2008,9
332281250-2,Blood Beach,Aloysia Witton,"Grant, Kshlerin and Lueilwitz",1983,22
010267138-9,Love and Other Troubles,Sayre Huband,Flatley Inc,2000,50
270326031-8,Scream 2,Myrilla Auchinleck,Kertzmann Inc,1996,35
241127646-X,Jerichow,Amery Auckland,Hermiston-Huels,1977,12
049253292-3,Laissons Lucie faire !,Nettle Edworthye,"Emard, Thompson and Towne",2005,32
049498782-0,Unfinished Sky,Dee dee Jelkes,"Monahan, Hahn and Pagac",2012,31
824954168-5,Can Mr. Smith Get to Washington Anymore?,Otha Langsbury,Block and Sons,2005,62
359252149-7,Edge of Darkness,Augustine Asple,Stanton Group,2005,40
146230841-4,Lisbela e o Prisioneiro (Lisbela and the Prisoner),Raddie Marshman,"Medhurst, Monahan and Adams",2011,81
393853486-9,"Man from Utah, The",Corie Bettison,Klein Group,1995,19
337234867-2,Blood Wedding (Bodas de sangre),Sibel Pigdon,Sipes-Hermann,2011,90
248704700-3,Calling Dr. Gillespie,Leighton Eves,McCullough-Orn,2008,24
457858579-4,John Doe: Vigilante,Solomon Stain,Rempel-Muller,2011,93
065198412-2,Revenge of the Electric Car,Ginevra Caldeyroux,Tillman Inc,2003,77
431858867-X,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu),Gaston Crass,Armstrong and Sons,1972,87
214825937-7,Harriet Craig,Roseline Jumont,Satterfield-Kilback,2010,89
793327091-3,Dying Breed,Meade Dancey,Block LLC,1994,30
570659924-6,"Fluffer, The",Jilleen Costi,Franecki LLC,2008,36
519224583-4,Gabrielle,Arlie Waker,Graham-Zulauf,1992,54
871390645-3,All About Steve,Gauthier Sumers,Kovacek-Zieme,2008,31
237126722-8,Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean),Veronique Vanyashkin,Trantow LLC,1988,93
971055199-X,"Vertical Ray of the Sun, The (Mua he chieu thang dung)",Dynah Birmingham,Hagenes and Sons,1992,63
488639042-0,Johnny Eager,Shawnee Bernetti,Kerluke and Sons,1993,52
639136166-5,"Girl in the Park, The",Godwin Jirik,Upton-Bailey,1997,69
447386986-5,"Story Written with Water, A (Mizu de kakareta monogatari)",Genia Carlyle,Donnelly-Spencer,1997,58
880831310-7,Today's Special,Leann Marden,"Rice, Effertz and Streich",1993,17
383646852-2,Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,Cornelle Besset,Paucek Group,1994,88
761144643-6,Gunner Palace,Suzann Crohan,Franecki-Littel,1998,38
617416414-4,North Star (a.k.a. Tashunga),Lorraine Lanfere,Murazik and Sons,2001,87
664092110-3,Code 46,Brooks Storck,Flatley LLC,1996,73
908207595-4,Jamie Marks Is Dead,Neel Aronstein,Rolfson-Ankunding,2001,1
552661029-2,Friday the 13th Part 2,Scarlet Temprell,"Pfeffer, Schneider and Hessel",1968,63
674643005-7,In Praise of Older Women,Margi Fishlock,Wisoky LLC,2009,100
023919952-9,While You Were Sleeping,Nessie Brockie,Hilpert and Sons,2007,78
822869803-8,King of the Zombies,Neely Tourot,"Kassulke, Corkery and Oberbrunner",2010,61
291571621-8,Fantastic Voyage,Base McLeary,Koss-Prosacco,1997,89
156157944-0,Two Lives (Zwei Leben),Aurelie Wycliff,Gleason-Rutherford,2002,64
441103133-7,Flow: For Love of Water,Ely Corzon,Smitham LLC,2009,10
066821319-1,Life According to Sam,Tresa Simkovitz,Feest-Wisozk,2011,95
627338964-0,Frenchmen 2,Gardiner Hogben,Fritsch-Marquardt,2001,2
263414370-2,Living Out Loud,Dagmar Vallentine,"Fay, Cruickshank and Shanahan",2010,48
229427251-X,Love Happens,Garrard Muro,Nienow-Kris,2000,100
681448348-3,Pee-wee's Big Adventure,Edlin Theurer,"Okuneva, Beahan and Hudson",2000,87
569349821-2,"Big Hit, The",Osgood Lundy,Prosacco-Doyle,1997,47
261303733-4,12 Rounds 2: Reloaded,Kiersten Stockman,Wehner Group,1993,65
379016462-3,The Tenant of Wildfell Hall,Orv Gianilli,Witting Inc,1995,81
453982011-7,Ticket To Romance (En enkelt til Korsør),Hank Wales,Lebsack-Jacobson,1993,10
039423888-5,Cradle 2 the Grave,Selestina Bowfin,Swaniawski-Kutch,1995,40
041303236-1,"Great Happiness Space, The: Tale of an Osaka Love Thief",Alameda Petrushka,"Rice, Pacocha and Metz",2000,80
751815727-6,"Devil Rides Out, The",Shaylyn Colman,Streich Inc,1988,41
571440686-9,Tell Them Who You Are,Marybelle Matusov,Shanahan Inc,1988,60
011147218-0,Payment Deferred,Xylia Hutton,Little LLC,1993,93
397839446-4,Half Moon Street,Baron Troy,Watsica-Thiel,2009,67
135735317-0,Industrial Symphony No. 1: The Dream of the Brokenhearted,Mady Balham,Fahey-Rosenbaum,1998,88
655343104-3,Big Bang in Tunguska (Das Rätsel von Tunguska),Farrell McLaren,Bashirian-McClure,2006,47
007864994-3,"Jazz Singer, The",Matty Dorow,Cassin-Gerlach,1993,62
950214453-8,Melody,Nedi Schwandner,Bauch Inc,1998,43
218331796-5,Grass,Raff Witheford,Mitchell Inc,1997,59
091868584-2,Everyone Says I Love You,Marlo Baudains,"Gleichner, Wiegand and Hills",2006,45
921434483-3,Karthik Calling Karthik,Karim Caplan,"Ondricka, King and Brown",1997,36
682952400-8,"Shaggy D.A., The",Radcliffe Dimic,Pfannerstill-Jacobs,1992,75
233421923-1,Talk of Angels,Issy Duddridge,"Kuvalis, Mayer and Ernser",1989,15
898902735-7,Big Momma's House 2,Cirillo Du Pre,Kautzer Group,2012,15
223415971-7,"Five Wives, Three Secretaries and Me",Clay Parfrey,"Ward, O'Reilly and Homenick",2002,47
705415295-6,Mark of the Cop,Dode Tite,Hand Inc,2011,42
074322238-5,Robot & Frank,Gustaf Lidgley,Weimann and Sons,2002,30
615149510-1,Duel,Rana Fairweather,Becker Inc,2001,94
886852199-7,Lights Out,Freddie Parell,Streich and Sons,2011,94
411157630-3,"Time Machine, The",Tonye Connaughton,Gibson Group,2010,44
784708808-8,"Death Kiss, The",Idell Harry,"Kihn, Leffler and Sipes",2012,40
883829796-7,Memories (Memorîzu),Adaline Gilbert,Keeling-Boyer,1994,8
033070670-5,"Baron of Arizona, The",Micky Gillogley,Smith LLC,2002,57
851793227-7,War of the Shaolin Temple (Shao Lin shi san gun seng),Fenelia Eddies,Moore Group,2004,69
175245106-6,Flash Gordon Conquers the Universe,Shay Botte,Willms LLC,1995,69
758168403-2,Burton and Taylor,Osborne Eales,"Monahan, Friesen and Bogisich",1985,58
594934028-0,"Detective, The (C+ jing taam)",Cobbie Ruane,Breitenberg-Flatley,2009,60
435059089-7,Young Goethe in Love,Gretchen Eddie,Wisoky-Schultz,1992,27
831279900-1,The Son of the Sheik,Kalie Rubega,"Schmitt, Borer and Kris",2009,61
203998988-9,Birdman,Anastasia Caldairou,"Corwin, Moen and Veum",1998,72
858064502-6,Poklosie,Aurelie Kobu,"Tremblay, Botsford and Pacocha",2004,55
401350052-3,Bloody Angels (1732 Høtten: Marerittet har et postnummer),Eric Langstaff,Cormier and Sons,2011,54
628007803-5,Faces of Death,Zeke Isaak,Nicolas LLC,2000,21
594737674-1,Hannie Caulder,Cristin Casella,"Kub, Macejkovic and Green",1985,37
992666059-2,No Such Thing,Jaquith Erickson,Bogan LLC,2001,49
990170716-1,Zoolander,Rhiamon Kleiner,Wisoky LLC,2005,90
039495263-4,Igor,Shaine Ferriere,"Klein, Nicolas and Kuvalis",1994,20
027812745-2,Aziz Ansari: Dangerously Delicious,Filberte Durrett,Schamberger LLC,2008,44
486680780-6,In a Year with 13 Moons (In einem Jahr mit 13 Monden),Tobie Lavender,Walter-Heaney,1990,93
010541269-4,The Color of Milk,Zorine Riddiford,Parisian LLC,2012,26
861885377-1,Mortuary,Jared Haythorne,Schuster-Bruen,2005,11
526364795-6,Parenthood,Jarred Rookesby,Braun Group,2002,19
904139659-4,Voodoo Tiger,Atlante Tewnion,Swaniawski-Blanda,2007,79
963269639-5,Jamesy Boy,Emlyn Pacht,Hane and Sons,1994,27
576219803-0,Service (Serbis),Julia Toffoloni,Wyman Inc,1996,46
627714259-3,And Everything Is Going Fine,Hedy Jozefiak,Bernier Inc,2000,83
825912970-1,"First $20 Million Is Always the Hardest, The",Aili Littley,Rohan Group,1995,79
222742266-1,Sea of Love,Willis Poppleston,Mraz and Sons,2007,84
707472258-8,Mammy,Noel Tregien,Jacobi-Heaney,2006,11
842592296-8,In the Shadow of Doubt (Epäilyksen varjossa),Martita Loch,"Turner, Hessel and Balistreri",1986,5
870721395-6,"Black Balloon, The",Arni Grunguer,Predovic-Keebler,1986,91
246768931-X,Eight Men Out,Alisun Farfalameev,Beatty and Sons,2000,84
715049044-1,Bring It On Again,Denni Colquite,Rice-Auer,1998,34
871873358-1,Rapid Fire,Rakel Champkins,Bauch Group,2000,36
757186285-X,Xingu ,Ryun Dwelling,Padberg-Shields,2007,66
837015880-3,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),Fields Flude,"Frami, Murazik and Nienow",2002,80
139594696-5,So Undercover,Esme Roiz,"Kozey, Bradtke and Reichel",1994,40
171515371-5,"Angry Silence, The",Barnabe Grigoroni,O'Connell Group,2009,77
611899490-0,Tales from the Hood,Perry Gregol,"Spinka, Stoltenberg and Erdman",1989,75
186995697-4,Sweet Smell of Success,Darb Morriss,"Cormier, Turner and Goodwin",1993,19
078304018-0,Down to Earth,Tab Gonsalo,Kautzer-Connelly,1999,80
508716969-4,Father of the Bride,Carolee Scirman,Stoltenberg-Mayer,1999,49
941720397-5,"Very Potter Sequel, A",Lise Huburn,VonRueden-Hermann,1994,16
308979536-1,"Mind Reader, The",Thibaud Norgate,"Howell, Grimes and Lueilwitz",1990,64
389003953-7,Bye-Bye Bin Laden,Gertruda Sterricker,Rath-Davis,2000,10
266279107-1,Taming the Fire (Ukroshcheniye ognya),Pietra Meers,Brakus-Smith,2000,53
446461461-2,Dealin' with Idiots,Olympia Enos,Krajcik-Blick,2012,84
561932222-X,"Last Horror Movie, The",Kelsey Scothorne,Beahan Inc,2002,84
812035145-2,Phantoms,Tasia Pippard,"Kirlin, Green and Bogisich",2007,58
070076065-2,Vidal Sassoon: The Movie,Link Triplet,Harris-Roberts,2009,38
499766442-1,"Man Who Loved Women, The (Homme qui aimait les femmes, L')",Yanaton Duxbarry,"Hickle, Reilly and Kuhic",1989,82
453035015-0,The Gun That Won the West,Kevina McQuorkell,Waelchi Group,2000,67
619975985-0,War and Peace (Jang Aur Aman),Lynna Blackett,Schuppe-McKenzie,2011,21
329635404-2,"Golden Age, The (Âge d'Or, L')",Shawnee Connar,Ratke Group,2012,89
916450844-7,Majesteit,Harrietta Girodin,Will and Sons,1995,90
922450957-6,It's Good to Be Alive,Alonzo Lutwidge,Boyle-Corkery,2008,19
940405636-7,Bruna Surfistinha,Abelard Pyzer,"Pagac, Weimann and Cronin",1995,76
623534958-0,Air Crew,Myrtle Kelsell,"Cremin, Block and Dietrich",1994,89
847245965-9,Diminished Capacity,Cinnamon Vassay,"Schuppe, Ortiz and Medhurst",2011,26
427697529-8,Master and Commander: The Far Side of the World,Ardeen Bricket,Swaniawski-Huels,1992,45
171633068-8,Sachs' Disease (La maladie de Sachs),Sibel Huglin,"Boehm, Cormier and Farrell",2010,4
544335393-4,"Arrival of a Train, The",Delilah Winear,Hansen-Metz,1998,21
916879116-X,"Big Circus, The",Sonya Barnes,"Farrell, McCullough and Keebler",2004,6
726836268-4,"Brink's Job, The",Lyda Thornewill,"Gerlach, Brakus and Spinka",1994,37
754718426-X,Chasers,Jannelle Hovenden,"Fisher, Green and Brakus",2004,76
521784193-1,Michael,Scot Dallywater,Ratke-Stokes,2005,49
772701888-0,"Virginity Hit, The",Johny Portriss,Powlowski-Kunde,2006,99
249060418-X,"Confessor, The (a.k.a. The Good Shepherd)",Vivian Habden,Kub Group,2005,96
682672617-3,Just Like a Woman,Brendis Bridgen,Osinski and Sons,2011,87
864341329-1,Loners (Samotári),Antonius Guarin,Mante and Sons,2000,15
742001526-0,The Studio Murder Mystery,Maddie Verey,"Hamill, Doyle and Romaguera",2005,66
590849546-8,Student Bodies,Yolanda Bortoloni,"Boehm, Stokes and Jaskolski",1998,14
575817897-7,Vibes,Loutitia Pawel,Brekke-Parisian,2004,86
164710993-0,Quicksand,Devondra Roddan,"Towne, Adams and Mueller",2009,68
192416554-6,Of Unknown Origin,Susann Opie,Nolan Inc,2008,85
434520139-X,Tycoon (Oligarkh),Ainslie Klimus,Feest-Kautzer,2012,36
703980768-8,"Inheritors, The (Siebtelbauern, Die)",Shalna Drain,Breitenberg LLC,2006,7
386315284-0,Spellbound,Nester Riccio,Stokes-Spinka,2011,45
464052063-8,Female Demon Ohyaku (Yôen dokufuden hannya no ohyaku),Adolphe Petrashkov,Mayer LLC,2000,66
165479461-9,Let It Snow,Jill Rattenbury,"Torp, Bosco and Barton",1997,60
471201275-7,Home Sweet Home,Cassey Karchewski,Rippin Group,2007,59
945588976-5,"Woman Always Pays, The (Afgrunden) (Abyss, The)",Andros Roycroft,Moen LLC,2007,59
216424183-5,Goofy Movies Number One,Weston Curreen,Cole LLC,2005,37
030263262-X,Diary of a Cannibal,Babbie Gehrels,Sipes-Gulgowski,2005,75
593548454-4,Telling You,Bobinette Paolucci,"Haag, Barton and Schamberger",1975,8
575394514-7,Ten Minutes Older,Jennette Cordeau],Goodwin-Oberbrunner,1992,11
631624926-8,Mike's Murder,Kat Ghiron,O'Conner Inc,2013,24
046551354-9,Cemetery Man (Dellamorte Dellamore),Haydon Pic,McLaughlin and Sons,2008,11
520780238-0,Walter Defends Sarajevo (Valter brani Sarajevo),Madalena Saunder,Ortiz-Wyman,2011,49
735469728-1,Zombies on Broadway,Ellyn Risson,Grimes Group,2000,92
352775060-6,"Dance, Girl, Dance",Kara-lynn Follitt,"Effertz, Zemlak and Stoltenberg",1997,26
338529865-2,"Drowning Pool, The",Elene Wason,Hintz and Sons,2012,37
076417410-X,Gurren Lagann: Childhood's End (Gekijô ban Tengen toppa guren ragan: Guren hen),Clementius Rostron,"Mueller, Spinka and Friesen",1998,65
217123833-X,3:10 to Yuma,Christy Peal,Armstrong LLC,1995,45
676054133-2,Vibrator,Lucho De Beneditti,"Reichert, Lueilwitz and Hodkiewicz",2005,47
724009107-4,Noah,Selestina Swift,Walker Inc,2004,67
026690093-3,Sorority Boys,Esdras Bugby,Wolf LLC,1989,56
857358026-7,Monsters vs. Aliens,Danell Agney,Johns-Jacobs,2001,53
636114382-1,"Faraway, So Close (In weiter Ferne, so nah!)",Grete Murtell,Kutch-Mayert,2006,83
698513012-7,Forest of the Gods (Dievu miskas),Candra Shelford,"Reynolds, Rohan and Bogan",1993,95
781285891-X,Tennessee,Bertrand Earles,Denesik-Rutherford,1997,9
395424996-0,Bite the Bullet,Barry Mansford,"Leffler, Wintheiser and Gleason",1991,89
989844338-3,"Marriage Circle, The",Keane Escofier,Fritsch Group,1963,28
624955615-X,Breathing Room,Elton Busch,Hamill and Sons,2013,73
442060169-8,"Incredible Hulk, The",Gerladina Ricco,Heller-Weimann,1990,79
580512208-1,White Mischief,Kathie Warrior,Rutherford Group,1999,84
046946143-8,Aprile,Malorie Cathel,Schowalter and Sons,1995,46
077293234-4,Pillow of Death,Roana Carmont,Corwin-Zemlak,2006,62
157039609-4,"Sentinel, The",Benjamin Maxwaile,Wintheiser-Rolfson,2002,89
967868956-1,Unfaithfully Yours,Laurella Feavers,Bode-Murray,1958,28
060267226-0,Christmas in Connecticut,Charis Grinvalds,Kub-Carroll,2002,11
454233263-2,Full Tilt Boogie,Kimberly Skeete,Wintheiser-Dicki,2001,46
645589608-4,Dr. Jekyll and Mr. Hyde,Arlan Eard,"Harvey, Medhurst and Dickens",2012,72
902665134-1,"Vampir (Cuadecuc, vampir)",Marcelline Fayter,Prohaska-Boyle,2001,50
932214701-6,Halls of Montezuma,Violette Judron,"McDermott, Haag and Feeney",2006,80
599340924-X,Tell,Barbee Ishak,"Mante, Wunsch and Paucek",2010,42
397545552-7,The Old Maid,Christie Schellig,Price-Morar,1981,77
598403568-5,"Bubble, The (Ha-Buah)",Errol Junkison,Legros LLC,1995,14
912319835-4,Wer,Abdel Lochhead,Considine-Ebert,2003,66
463641860-3,"Thick as Thieves (a.k.a. Code, The)",Cary Blizard,"Morar, Marks and Koch",2003,89
850003018-6,Rammbock,Syman Berzin,Hamill-Paucek,2009,83
157524969-3,Without Lying Down: Frances Marion and the Power of Women in Hollywood,Cointon Frape,Abshire-Howell,2011,87
641684966-6,"Hey, Happy!",Amil Kernan,"Grant, Ankunding and D'Amore",1999,1
378928654-0,Big Eden,Seamus Clapton,Schimmel and Sons,1996,23
024399586-5,Buck Privates,Farra Meader,West-Rolfson,1994,97
919411014-X,Croupier,Truda Bendel,Wilderman Inc,1999,61
880351728-6,Gallowwalkers,Dorette Sawer,Gulgowski Inc,2005,19
354359602-0,George Lopez: America's Mexican,Bondie Maskell,"Satterfield, McClure and Sauer",2010,20
441614583-7,Liar Liar,Barclay Kingsford,"Luettgen, Ward and Ortiz",1972,8
923619892-9,One Way Boogie Woogie,Bart Tampin,"Stoltenberg, Wiza and Raynor",2009,53
982517746-2,"Debut, The",Germaine Brotherhood,Kilback and Sons,2008,10
063982861-2,"Dark Corner, The",Rebeca Cranage,Ratke and Sons,1997,62
906530402-9,"Perfect Holiday, The",Uri Doody,"Dach, Tremblay and Howe",2012,26
668336752-3,Home on the Range,Krystle Dring,"Rath, Koelpin and Ernser",2011,90
456457580-5,Continental Divide,Jeanna Marklund,Kovacek-Hessel,1985,57
609478287-9,They Only Kill Their Masters,Toby Clethro,"Rohan, Cronin and Russel",2012,87
704322467-5,Smiles of a Summer Night (Sommarnattens leende),Lanny Rollinshaw,Nitzsche Group,1995,65
233988328-8,"Curse of the Hedgehog, The (Blestemul ariciului)",Kirby Pau,"Streich, Kozey and Swaniawski",1984,66
137651002-2,Calamity Jane,Deane Gamble,DuBuque-Kihn,1990,92
249307590-0,Ill Gotten Gains,Stephine Fine,Reynolds-Hammes,2010,17
826902352-3,Baby's Day Out,Sonni Scriver,"Wiza, Smitham and Osinski",1994,86
392637655-4,Sweet Land,Farris Provost,Cummerata LLC,1993,38
